,country,burn_2002,burn_2004,drowning_2002,drowning_2004,fall_2002,fall_2004,poisoning_2002,poisoning_2004,total_2002,total_2004
95,Lesotho,4.871619,3.0134592060000003,8.700027,5.534087181,4.016922,3.385127544,6.7605580000000005,4.741689682,24.349126000000002,18.693231931
96,Liberia,8.769966,5.195684433,12.457239999999999,5.465460299999999,6.895103999999999,4.254863739,10.932089999999999,6.215863228,39.0544,25.848098472
97,Libya,3.8554230000000005,4.200705528,2.277858,2.479269743,3.422505,3.5515589710000004,2.164599,2.516609907,11.720385,12.396133242000001
98,Lithuania,4.262231,3.519167662,12.481010000000001,8.807596207000001,11.09042,10.39620018,17.27364,17.08634949,45.107301,39.996604049
99,Luxembourg,0.7470686,0.370494664,0.5700158000000001,0.772485912,5.850251999999999,6.1955657010000005,4.691525,3.194434166,11.8588614,12.030071277000001
100,Madagascar,6.188969999999999,4.525608063,7.657578,3.726142645,5.096874,3.516938925,6.716616,4.155482292,25.660038,18.485305633
101,Malawi,4.799733,4.386906624,19.08426,15.06162262,3.980167,3.731557369,1.001555,0.896325409,28.865714999999998,24.181641613
102,Malaysia,0.3987345,0.392379016,3.4402410000000003,3.5122785569999997,4.748957,4.846709728,0.8457005999999999,0.873335958,9.433633100000002,9.597067901
103,Maldives,5.913028,2.249350309,4.448281,4.602542877,9.592298,10.73034477,4.8399019999999995,1.6540327069999998,24.793508999999997,22.422139956
104,Mali,7.149033,5.69832468,14.29486,7.320631981,5.500837000000001,4.410247326,8.923428,6.0249776839999996,35.868158,26.352631987000002
105,Malta,0.2681992,0.401551783,2.162102,0.718757987,6.727342999999999,9.175183296,1.70088,1.995059371,10.8585242,11.996373066
106,Marshall Islands,6.242098,6.644908905,8.666203,8.631054877999999,0.0893605,0.048309103,5.902023000000001,5.801558971,20.8996845,21.226295886
107,Mauritania,7.156045,5.067479134,9.414054,4.335908413,5.956443,4.140105247,8.572767,4.970630646,31.099308999999998,22.116259794
108,Mauritius,3.139812,3.7108595369999997,2.955359,3.6802504060000003,2.654331,2.173601389,0.18133329999999998,0.049654018,8.9308353,9.746044632
109,Mexico,0.7766099,0.8339483740000001,2.726987,2.920317888,3.0909169999999997,3.788119555,1.012183,1.289460897,7.606696899999999,8.554568817
110,"Micronesia, Fed. Sts.",4.617653,3.75705719,5.9829419999999995,4.380141735,0.093911,0.026307228999999998,3.3765870000000002,3.135749578,14.071093000000001,11.540093154000001
111,Monaco,3.4602370989583324,3.3308049753437525,5.57167945520833,5.260021238390622,6.378746,6.339615345,0.5986994999999999,0.587576866,16.00936205416666,15.529141058734377
112,Mongolia,2.587343,2.25267005,5.7483949999999995,4.855568886,7.567759,6.890179157,3.152557,2.85078454,19.056053999999996,17.150975093
113,Morocco,2.633208,2.49579525,3.294953,3.106740952,3.297315,3.1296806339999996,2.263433,1.91395545,11.488909,10.995649835999998
114,Mozambique,3.3850239999999996,5.230650902,3.5666290000000003,7.167173386,3.546353,4.6197462080000005,2.767007,4.876410007,13.265013,19.784577495999997
115,Myanmar,8.887257,7.960580349,7.005800999999999,6.608426571,9.722318,8.890291214,5.072268,4.558066845,30.687644,28.531566134
116,Namibia,4.397063,3.680824995,2.276733,1.548416615,3.7104790000000003,4.850430489,0.9430438,0.793066204,11.3273188,11.022715899
117,Nauru,10.78315,9.861204147,18.1276,20.76503181,23.38896,17.84573746,1.480165,1.280659676,53.779875000000004,49.952138417
118,Nepal,9.619261999999999,9.244924545,7.033643,6.485136509,9.775215,8.931825638,5.7027730000000005,5.359501362,32.130893,30.364659692
119,Netherlands,0.3378218,0.20417740899999998,0.6822001,0.588801086,2.641691,3.757113695,0.5986739000000001,0.93097502,4.260386799999999,5.1487660900000005
120,New Zealand,0.6015118,0.38107210399999997,1.7789130000000002,1.543493152,4.205973,4.8861212730000005,0.2222593,1.121508956,6.8086571000000005,7.032945829000001
121,Nicaragua,0.6244723000000001,0.719476163,4.354413,4.897483826,0.3473513,3.21727252,1.0035290000000001,0.726642728,6.3297656,9.837761509
122,Niger,7.812264999999999,5.885241032000001,16.07558,8.58246994,6.301385,4.842306137,9.946828,6.506351471,40.136058,29.256845109
123,Nigeria,6.928142,6.034070492000001,20.27499,13.17629242,5.606611,4.748979092,8.717734,7.391807556,41.527477,32.677076004
124,Niue,3.760186,3.891184092,5.466768,5.446812153,0.0472521,0.045809145999999995,3.449203,3.188253164,12.723409100000001,12.833008391
125,Norway,0.9678244,0.9770051240000001,1.207333,1.7377313380000001,8.234253,7.188120842000001,1.122092,8.032603264,11.5315024,11.024949304000002
126,Oman,0.8300055000000001,0.7861031890000001,3.681611,3.4224255080000003,3.3621019999999997,3.251220465,0.8687450000000001,0.845568419,8.7424635,8.328494162
127,Pakistan,12.91973,11.90498447,5.832091,5.4131636620000005,12.92274,12.02375126,6.7211039999999995,6.2307572360000005,38.395664999999994,36.063003392
128,Palau,3.456972,3.630022049,4.911313,4.728466511000001,0.0326177,0.039848767,3.787551,3.634520292,12.1884537,12.185888327
129,Panama,0.6383528,0.35996326799999995,4.928115,4.442611694,4.00434,3.003424168,0.4324866,1.098306894,10.003294400000001,8.23848573
130,Papua New Guinea,9.069075999999999,8.832960129,7.282183,7.060499191,10.1018,9.515307426,5.6515260000000005,5.453388213999999,32.104585,31.060292746
131,Paraguay,1.760692,7.126265526,2.598834,2.128880739,1.0111290000000002,0.822467208,0.3834566,0.423697561,5.7541116,10.461070073
132,Peru,1.267182,1.065365434,5.245844,4.413009644,0.6533876000000001,0.55972147,0.7833121999999999,0.663622022,7.9497258,6.8214087480000005
133,Philippines,0.1991602,0.189581975,4.425923,4.208931923,3.922125,3.564413071,0.4584707,0.44503814,9.0056789,8.421397669
134,Poland,0.9212311,1.0613003970000001,2.707954,2.473413706,7.350277,7.336278915,3.674125,4.128065109,14.6535871,14.545118018000002
135,Portugal,0.866878,0.701513827,0.33266,1.514215469,4.268473,4.641287804,0.591529,0.659183681,6.05954,7.4485461
136,Qatar,3.4602370989583324,3.3308049753437525,2.096345,2.192506313,1.150084,1.24138701,4.421706545833331,4.171133837369793,11.128372644791662,11.186404844177083
137,"Korea, Rep.",1.5164389999999999,0.87409991,3.229934,2.28242445,7.420903,8.278238297,1.0274809999999999,0.571403325,13.194757,12.462243657
138,Moldova,2.581955,3.07279563,8.755372,7.374524117000001,4.4812330000000005,5.939527987999999,11.33592,14.97340202,27.15448,27.722767734999998
139,Romania,1.814759,1.406416416,5.309081,4.617928982,5.553517,5.614512444,4.841755,4.223836899,17.519112,16.480612842
140,Russia,7.936697000000001,7.2962808610000005,11.8665,10.02939987,9.340448,8.196986198,39.638740000000006,41.14281082,68.782385,65.16140692900001
141,Rwanda,5.3631910000000005,6.017883778,17.66471,20.57376099,4.290508,5.047314167,1.269018,1.43704772,28.587426999999998,32.907976935
142,Saint Kitts and Nevis,2.51337,2.639387369,9.222521,9.04542923,5.071509,4.892878532,4.421706545833331,4.171133837369793,21.229106545833332,20.99940167683333
143,Saint Lucia,1.320753,2.666165829,7.630864,5.636061667999999,3.243204,0.30613175,0.6053538,4.171133837369793,12.8001748,9.213713046999999
144,Saint Vincent and the Grenadines,3.8255239999999997,3.375669003,10.602310000000001,12.0698595,7.557894999999999,6.104589938999999,4.421706545833331,4.171133837369793,26.40743554583333,25.97182498783333
145,Samoa,4.464847,4.329987526,5.220551,5.587123394,0.045930900000000004,0.022459587000000003,3.713776,3.765543222,13.4451049,13.653346506999998
146,San Marino,3.4602370989583324,3.3308049753437525,1.093015,0.728446484,4.849943866145835,4.611214534671876,2.555434,1.6839650869999998,11.958629965104166,11.225899994015629
147,Sao Tome and Principe,4.213184,5.355763912,2.303988,3.114511967,3.593869,3.8755908010000004,0.8380424000000001,1.03470552,10.949083400000001,13.183909080000001
148,Saudi Arabia,0.6874245,0.7051367159999999,6.62988,6.771661282,6.548616,7.029717445,1.431506,1.5342918630000002,15.2974265,15.938021443000002
149,Senegal,6.452428,5.055577755,6.626352000000001,4.137681484,5.054834,4.103675365,7.853686,5.195435524,25.9873,21.150620603999997
150,Serbia and Montenegro,0.5204802,0.591827452,1.38111,1.382915616,4.826154,1.8523952959999999,0.8261674000000001,0.36463162299999996,7.5539116,4.653305764
151,Seychelles,0.9147386999999999,0.882874072,17.84135,15.95689201,1.094875,0.9259276390000001,4.421706545833331,4.171133837369793,24.27267024583333,22.187400266833333
152,Sierra Leone,9.818634,7.638168812000001,16.06741,8.964026451,8.029929,6.217244625,15.182139999999999,11.06474209,49.09811299999999,38.001579888
153,Singapore,0.1512431,0.063291192,0.4237915,0.594329178,3.900983,4.118116379,0.10436789999999999,0.174544841,4.5803855,4.880104649
154,Slovak Republic,0.4714929,0.85708952,2.99772,2.7424318789999997,7.18152,6.906487942,2.611768,2.308080912,13.262500900000001,13.117777340999998
155,Slovenia,0.5829703,0.293605655,1.216012,0.8921332959999999,11.50085,10.57460308,1.525272,1.239801526,14.825104299999998,13.285614031
156,Solomon Islands,4.081434,3.7889444830000003,6.155058,6.256864071,0.12211660000000002,0.160131052,2.97896,2.991172552,13.3375686,13.184899606000002
157,Somalia,6.203382,8.160377502000001,5.914630000000001,26.63749695,4.389216,9.542284966,2.0950450000000003,6.904289246,18.602273,46.435204418
158,South Africa,5.275811,9.800415038999999,2.831743,2.593145132,4.493975,3.47616291,1.323733,1.188189149,13.925262,17.193456081
159,Spain,0.3700893,0.36183551,1.194185,1.187992334,2.119295,2.295529366,1.4550049999999999,1.4547179940000001,5.1385743,5.300362209999999
160,Sri Lanka,1.577134,1.403860331,4.779348000000001,4.164374828,3.83734,3.320240021,1.090028,0.92277205,11.283850000000001,9.97850318
161,Sudan,4.880966,5.268792152,4.924544999999999,7.255851269,3.940754,5.087699413,2.067703,3.910938978,15.813967999999997,19.680045833999998
162,Suriname,1.772964,2.1843876840000003,10.07103,5.412862777999999,9.670567,4.316963196000001,4.421706545833331,0.1413178,25.93626754583333,16.335920203833332
163,Swaziland,4.797276,6.226202965,7.554778,9.924497603999999,2.761676,5.824388027,4.644091,8.218862534,19.757821,26.619179596
164,Sweden,0.697188,0.816457987,1.045261,1.198734283,2.481098,2.8944129939999996,2.305253,2.589960575,6.5288,7.214858264
165,Switzerland,0.326187,0.33831161299999996,0.8517751,0.580039263,5.883058999999999,7.417273521,0.13470479999999999,0.22831279,7.195725899999999,8.470329197
166,Syria,3.510004,3.0976850989999996,1.724574,1.607222676,1.2730219999999999,1.18450439,1.090666,0.974044502,7.598266,6.980078164999999
167,Tajikistan,1.538822,1.947034955,4.360607,4.685183525,1.154919,1.235026121,3.5652410000000003,2.2118339540000003,10.619589000000001,11.432485601
168,Thailand,0.6505960999999999,0.756065428,4.966814,6.487938403999999,5.23597,4.485964298,0.7524692,0.44258073,11.6058493,12.48243733
169,"Macedonia, FYR",0.5409857,0.6181582210000001,1.2036149999999999,1.357207179,3.306002,1.972636819,0.7766075,1.5093365909999998,5.8272102,4.724609719
170,Timor-Leste,9.119411999999999,6.648386478,7.999894,5.657885551000001,10.55452,8.450176239,5.957623,4.619199276,33.631449,26.714071267999998
171,Togo,6.5438540000000005,4.9071898460000005,7.914060000000001,4.1714496610000005,5.3899989999999995,3.7746570110000004,7.253082000000001,4.729180336000001,27.100994999999998,20.106378518
172,Tonga,3.6126050000000003,3.862245321,3.9294599999999997,3.737372398,0.030948900000000005,0.022620837999999997,2.788512,2.703763008,10.3615259,10.410750557
173,Trinidad and Tobago,0.7150831999999999,1.413901329,4.684053,4.429727077,3.835178,2.5987622740000003,0.3437237,0.267690152,9.5780379,8.786114379999999
174,Tunisia,4.839368,3.224134445,3.0237380000000003,2.666603088,4.751326000000001,3.4531450269999997,2.919016,2.018692732,15.533448,12.26289856
175,Turkey,0.9746662,0.636880338,0.959766,0.7045708890000001,1.675977,8.000944138,0.8118776,0.504526794,4.4222868,10.154272964999999
176,Turkmenistan,8.446925,7.8628873829999995,7.036347,10.0855341,2.024848,1.935352325,4.095779,3.638997793,21.603899000000002,23.979552808
177,Tuvalu,8.018548,7.7020030020000005,8.554679,8.763174057,0.15003229999999998,0.116566814,7.263877000000001,7.774079323,23.9871363,23.845620873
178,Uganda,5.111846,6.159128189,7.547772,8.380665779,4.178698000000001,4.589588642,10.2038,11.69975376,27.042116,29.33318261
179,Ukraine,3.8372669999999998,4.702908993,10.13841,8.89242363,5.370097,6.7216701510000005,29.58581,31.03318596,48.931584,49.902812774
180,United Arab Emirates,2.339252,1.4742064480000001,6.0815779999999995,2.9602580069999997,3.7071709999999998,1.791452646,0.3422347,0.162322968,12.4702357,6.568151801
181,United Kingdom,0.6323395,0.577689111,0.40092449999999996,0.347905368,4.474754,3.453276873,1.952334,1.8538086409999999,7.460352,6.331205352
182,Tanzania,4.848667,4.958661079,11.306510000000001,11.59088802,4.008013,4.368362904,9.041296,9.795476913,29.204486000000003,29.959208003
183,United States,1.124378,0.973697603,1.347872,1.1515256170000001,3.064667,3.96007967,4.318336,6.753244400000001,9.855253000000001,10.40363889
184,Uruguay,1.1702219999999999,1.2331317659999999,3.78133,2.164458752,0.6571819999999999,0.9455425740000001,0.8641141,0.560129702,6.4728481,5.207247192
185,Uzbekistan,1.883641,2.180389881,4.301025,5.271134853,1.284248,2.608140707,2.627993,2.061176062,10.096907,12.687658441
186,Vanuatu,4.166044,4.0037279130000005,5.576567,5.495388508,0.0733076,0.058709171,3.497464,3.4857103819999997,13.3133826,13.055289592000001
187,Venezuela,0.40970559999999995,0.49058008200000003,2.4821720000000003,2.7272920610000004,5.330312999999999,4.966413975,0.4267504,0.437854022,8.648940999999999,8.611036518
188,Vietnam,4.761925,4.121252537,5.388711,4.523878098,8.690489999999999,7.921552181,4.324789,3.875869989,23.165915,20.891471816
189,"Yemen, Rep.",5.820284,6.045213699,6.972811,7.664317131000001,6.485294000000001,6.745578289,5.065075,5.138481617,24.343464,25.520184119
190,Zambia,3.291871,5.194853783,6.452204,14.15933514,3.5441300000000004,4.415143013,4.346364,7.587534428,17.634569000000003,28.115695936
191,Zimbabwe,3.509604,6.468673229,6.349378,16.04756355,4.323385,5.279467106,5.711973,11.12145424,19.89434,33.507676885
